"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"External antennas","144","YECA000J1AM","YECA000J1AM","4G adhesive mount low profile monopole external antenna",""
"External antennas","145","YECA000M1A","YECA000M1A","4G adhesive mount low profile monopole external antenna",""
"External antennas","146","YECA001L1AH","YECA001L1AH","5G adhesive mount whip monopole external antenna",""
"External antennas","147","YECA002L1AH","YECA002L1AH","4G adhesive mount whip monopole external antenna",""
"External antennas","148","YECM001L1AH","YECM001L1AH","5G magnetic mount whip monopole external antenna",""
"External antennas","149","YECM002L1AH","YECM002L1AH","4G magnetic mount whip monopole external antenna",""
"External antennas","150","YECN001J1A","YECN001J1A","5G screw mount stubby PIFA external antenna",""
"External antennas","151","YECN001L1A","YECN001L1A","4G screw mount low profile monopole external antenna",""
"External antennas","152","YECN009AA","YECN009AA","5G terminal mount rubber dipole external antenna",""
"External antennas","153","YECN028AA","YECN028AA","5G terminal mount rubber dipole external antenna",""
"External antennas","154","YECT000WBA","YECT000WBA","5G screw mount stubby monopole external antenna",""
"External antennas","155","YECT000WXA","YECT000WXA","5G terminal mount stubby monopole external antenna",""
"External antennas","156","YECT001W1AM","YECT001W1AM","5G terminal mount rubber monopole external antenna",""
"External antennas","157","YECT001W1BM","YECT001W1BM","5G terminal mount rubber monopole external antenna",""
"External antennas","158","YECT001W1CM","YECT001W1CM","4G terminal mount rubber monopole external antenna",""
"External antennas","159","YECT001W1DM","YECT001W1DM","4G terminal mount rubber monopole external antenna",""
"External antennas","160","YECT003W1A","YECT003W1A","4G terminal mount rubber monopole external antenna",""
"External antennas","161","YECT004W5AM","YECT004W5AM","5G terminal mount whip dipole external antenna",""
"External antennas","162","YECT005WFA","YECT005WFA","5G terminal mount whip dipole external antenna",""
"External antennas","163","YECT007AA","YECT007AA","4G pole mount fiberglass dipole external antenna",""
"External antennas","164","YECT009W1AM","YECT009W1AM","4G terminal mount rubber monopole external antenna",""
"External antennas","165","YECT011W1AM","YECT011W1AM","4G terminal mount rubber dipole external antenna",""
"External antennas","166","YECT012W1AM","YECT012W1AM","4G terminal mount rubber dipole external antenna",""
"External antennas","167","YECT028W1A","YECT028W1A","5G terminal mount rubber dipole external antenna",""
"External antennas","168","YECT101W7AH","YECT101W7AH","5G terminal mount stubby monopole external antenna",""
"External antennas","169","YECT102WAAH","YECT102WAAH","5G terminal mount rubber dipole external antenna",""
